Var1,Var2,Var3,frequency
112.2,-201.96,168.3,2.718281828
112.2,-201.96,168.3,2.959948685
112.2,-201.96,168.3,3.223100756
112.2,-201.96,168.3,3.509648169
112.2,-201.96,168.3,3.821670871
112.2,-201.96,168.3,4.161433722
112.2,-201.96,168.3,4.531402941
112.2,-201.96,168.3,4.934264002
112.2,-201.96,168.3,5.372941131
112.2,-201.96,168.3,5.85061853
112.2,-201.96,168.3,6.370763487
112.2,-201.96,168.3,6.937151552
112.2,-201.96,168.3,7.553893933
112.2,-201.96,168.3,8.225467343
112.2,-201.96,168.3,8.956746496
112.2,-201.96,168.3,9.753039487
112.2,-201.96,168.3,10.62012632
112.2,-201.96,168.3,11.56430088
112.2,-201.96,168.3,12.59241659
112.2,-201.96,168.3,13.71193616
112.2,-201.96,168.3,14.93098581
112.2,-201.96,168.3,16.25841418
112.2,-201.96,168.3,17.70385659
112.2,-201.96,168.3,19.277805
112.2,-201.96,168.3,20.99168414
112.2,-201.96,168.3,22.85793445
112.2,-201.96,168.3,24.89010238
112.2,-201.96,168.3,27.10293872
112.2,-201.96,168.3,29.51250564
112.2,-201.96,168.3,32.13629335
112.2,-201.96,168.3,34.99334699
112.2,-201.96,168.3,38.10440489
112.2,-201.96,168.3,41.49204911
112.2,-201.96,168.3,45.18086937
112.2,-201.96,168.3,49.19764149
112.2,-201.96,168.3,53.57152179
112.2,-201.96,168.3,58.33425872
112.2,-201.96,168.3,63.52042329
112.2,-201.96,168.3,69.16766003
112.2,-201.96,168.3,75.31696021
112.2,-201.96,168.3,82.01295943
112.2,-201.96,168.3,89.30426155
112.2,-201.96,168.3,97.24379155
112.2,-201.96,168.3,105.8891797
112.2,-201.96,168.3,115.3031797
112.2,-201.96,168.3,125.5541245
112.2,-201.96,168.3,136.716422
112.2,-201.96,168.3,148.8710954
112.2,-201.96,168.3,162.1063712
112.2,-201.96,168.3,176.5183194
112.2,-201.96,168.3,192.2115514
112.2,-201.96,168.3,209.2999787
112.2,-201.96,168.3,227.9076401
112.2,-201.96,168.3,248.169602
112.2,-201.96,168.3,270.2329388
112.2,-201.96,168.3,294.2578004
112.2,-201.96,168.3,320.4185748
112.2,-201.96,168.3,348.9051536
112.2,-201.96,168.3,379.9243109
112.2,-201.96,168.3,413.7012036
112.2,-201.96,168.3,450.4810063
112.2,-201.96,168.3,490.5306904
112.2,-201.96,168.3,534.1409624
112.2,-201.96,168.3,581.6283737
112.2,-201.96,168.3,633.3376185
112.2,-201.96,168.3,689.6440359
112.2,-201.96,168.3,750.9563341
112.2,-201.96,168.3,817.7195572
112.2,-201.96,168.3,890.4183159
112.2,-201.96,168.3,969.5803045
112.2,-201.96,168.3,1055.780132
112.2,-201.96,168.3,1149.643492
112.2,-201.96,168.3,1251.851705
112.2,-201.96,168.3,1363.146664
112.2,-201.96,168.3,1484.33622
112.2,-201.96,168.3,1616.300045
112.2,-201.96,168.3,1759.996018
112.2,-201.96,168.3,1916.467176
112.2,-201.96,168.3,2086.849287
112.2,-201.96,168.3,2272.379095
112.2,-201.96,168.3,2474.403295
112.2,-201.96,168.3,2694.388309
112.2,-201.96,168.3,2933.930929
112.2,-201.96,168.3,3194.769911
112.2,-201.96,168.3,3478.798591
112.2,-201.96,168.3,3788.078634
112.2,-201.96,168.3,4124.854992
112.2,-201.96,168.3,4491.572205
112.2,-201.96,168.3,4890.892144
108.9,-392.04,0.0,2.718281828
108.9,-392.04,0.0,2.959948685
108.9,-392.04,0.0,3.223100756
108.9,-392.04,0.0,3.509648169
108.9,-392.04,0.0,3.821670871
108.9,-392.04,0.0,4.161433722
108.9,-392.04,0.0,4.531402941
108.9,-392.04,0.0,4.934264002
108.9,-392.04,0.0,5.372941131
108.9,-392.04,0.0,5.85061853
108.9,-392.04,0.0,6.370763487
108.9,-392.04,0.0,6.937151552
108.9,-392.04,0.0,7.553893933
108.9,-392.04,0.0,8.225467343
108.9,-392.04,0.0,8.956746496
108.9,-392.04,0.0,9.753039487
108.9,-392.04,0.0,10.62012632
108.9,-392.04,0.0,11.56430088
108.9,-392.04,0.0,12.59241659
108.9,-392.04,0.0,13.71193616
108.9,-392.04,0.0,14.93098581
108.9,-392.04,0.0,16.25841418
108.9,-392.04,0.0,17.70385659
108.9,-392.04,0.0,19.277805
108.9,-392.04,0.0,20.99168414
108.9,-392.04,0.0,22.85793445
108.9,-392.04,0.0,24.89010238
108.9,-392.04,0.0,27.10293872
108.9,-392.04,0.0,29.51250564
108.9,-392.04,0.0,32.13629335
108.9,-392.04,0.0,34.99334699
108.9,-392.04,0.0,38.10440489
108.9,-392.04,0.0,41.49204911
108.9,-392.04,0.0,45.18086937
108.9,-392.04,0.0,49.19764149
108.9,-392.04,0.0,53.57152179
108.9,-392.04,0.0,58.33425872
108.9,-392.04,0.0,63.52042329
108.9,-392.04,0.0,69.16766003
108.9,-392.04,0.0,75.31696021
108.9,-392.04,0.0,82.01295943
108.9,-392.04,0.0,89.30426155
108.9,-392.04,0.0,97.24379155
108.9,-392.04,0.0,105.8891797
108.9,-392.04,0.0,115.3031797
108.9,-392.04,0.0,125.5541245
108.9,-392.04,0.0,136.716422
108.9,-392.04,0.0,148.8710954
108.9,-392.04,0.0,162.1063712
108.9,-392.04,0.0,176.5183194
108.9,-392.04,0.0,192.2115514
108.9,-392.04,0.0,209.2999787
108.9,-392.04,0.0,227.9076401
108.9,-392.04,0.0,248.169602
108.9,-392.04,0.0,270.2329388
108.9,-392.04,0.0,294.2578004
108.9,-392.04,0.0,320.4185748
108.9,-392.04,0.0,348.9051536
108.9,-392.04,0.0,379.9243109
108.9,-392.04,0.0,413.7012036
108.9,-392.04,0.0,450.4810063
108.9,-392.04,0.0,490.5306904
108.9,-392.04,0.0,534.1409624
108.9,-392.04,0.0,581.6283737
108.9,-392.04,0.0,633.3376185
108.9,-392.04,0.0,689.6440359
108.9,-392.04,0.0,750.9563341
108.9,-392.04,0.0,817.7195572
108.9,-392.04,0.0,890.4183159
108.9,-392.04,0.0,969.5803045
108.9,-392.04,0.0,1055.780132
108.9,-392.04,0.0,1149.643492
108.9,-392.04,0.0,1251.851705
108.9,-392.04,0.0,1363.146664
108.9,-392.04,0.0,1484.33622
108.9,-392.04,0.0,1616.300045
108.9,-392.04,0.0,1759.996018
108.9,-392.04,0.0,1916.467176
108.9,-392.04,0.0,2086.849287
108.9,-392.04,0.0,2272.379095
108.9,-392.04,0.0,2474.403295
108.9,-392.04,0.0,2694.388309
108.9,-392.04,0.0,2933.930929
108.9,-392.04,0.0,3194.769911
108.9,-392.04,0.0,3478.798591
108.9,-392.04,0.0,3788.078634
108.9,-392.04,0.0,4124.854992
108.9,-392.04,0.0,4491.572205
108.9,-392.04,0.0,4890.892144
101.2,0.0,0.0,2.718281828
101.2,0.0,0.0,2.959948685
101.2,0.0,0.0,3.223100756
101.2,0.0,0.0,3.509648169
101.2,0.0,0.0,3.821670871
101.2,0.0,0.0,4.161433722
101.2,0.0,0.0,4.531402941
101.2,0.0,0.0,4.934264002
101.2,0.0,0.0,5.372941131
101.2,0.0,0.0,5.85061853
101.2,0.0,0.0,6.370763487
101.2,0.0,0.0,6.937151552
101.2,0.0,0.0,7.553893933
101.2,0.0,0.0,8.225467343
101.2,0.0,0.0,8.956746496
101.2,0.0,0.0,9.753039487
101.2,0.0,0.0,10.62012632
101.2,0.0,0.0,11.56430088
101.2,0.0,0.0,12.59241659
101.2,0.0,0.0,13.71193616
101.2,0.0,0.0,14.93098581
101.2,0.0,0.0,16.25841418
101.2,0.0,0.0,17.70385659
101.2,0.0,0.0,19.277805
101.2,0.0,0.0,20.99168414
101.2,0.0,0.0,22.85793445
101.2,0.0,0.0,24.89010238
101.2,0.0,0.0,27.10293872
101.2,0.0,0.0,29.51250564
101.2,0.0,0.0,32.13629335
101.2,0.0,0.0,34.99334699
101.2,0.0,0.0,38.10440489
101.2,0.0,0.0,41.49204911
101.2,0.0,0.0,45.18086937
101.2,0.0,0.0,49.19764149
101.2,0.0,0.0,53.57152179
101.2,0.0,0.0,58.33425872
101.2,0.0,0.0,63.52042329
101.2,0.0,0.0,69.16766003
101.2,0.0,0.0,75.31696021
101.2,0.0,0.0,82.01295943
101.2,0.0,0.0,89.30426155
101.2,0.0,0.0,97.24379155
101.2,0.0,0.0,105.8891797
101.2,0.0,0.0,115.3031797
101.2,0.0,0.0,125.5541245
101.2,0.0,0.0,136.716422
101.2,0.0,0.0,148.8710954
101.2,0.0,0.0,162.1063712
101.2,0.0,0.0,176.5183194
101.2,0.0,0.0,192.2115514
101.2,0.0,0.0,209.2999787
101.2,0.0,0.0,227.9076401
101.2,0.0,0.0,248.169602
101.2,0.0,0.0,270.2329388
101.2,0.0,0.0,294.2578004
101.2,0.0,0.0,320.4185748
101.2,0.0,0.0,348.9051536
101.2,0.0,0.0,379.9243109
101.2,0.0,0.0,413.7012036
101.2,0.0,0.0,450.4810063
101.2,0.0,0.0,490.5306904
101.2,0.0,0.0,534.1409624
101.2,0.0,0.0,581.6283737
101.2,0.0,0.0,633.3376185
101.2,0.0,0.0,689.6440359
101.2,0.0,0.0,750.9563341
101.2,0.0,0.0,817.7195572
101.2,0.0,0.0,890.4183159
101.2,0.0,0.0,969.5803045
101.2,0.0,0.0,1055.780132
101.2,0.0,0.0,1149.643492
101.2,0.0,0.0,1251.851705
101.2,0.0,0.0,1363.146664
101.2,0.0,0.0,1484.33622
101.2,0.0,0.0,1616.300045
101.2,0.0,0.0,1759.996018
101.2,0.0,0.0,1916.467176
101.2,0.0,0.0,2086.849287
101.2,0.0,0.0,2272.379095
101.2,0.0,0.0,2474.403295
101.2,0.0,0.0,2694.388309
101.2,0.0,0.0,2933.930929
101.2,0.0,0.0,3194.769911
101.2,0.0,0.0,3478.798591
101.2,0.0,0.0,3788.078634
101.2,0.0,0.0,4124.854992
101.2,0.0,0.0,4491.572205
101.2,0.0,0.0,4890.892144
108.9,-588.06,163.35,2.718281828
108.9,-588.06,163.35,2.959948685
108.9,-588.06,163.35,3.223100756
108.9,-588.06,163.35,3.509648169
108.9,-588.06,163.35,3.821670871
108.9,-588.06,163.35,4.161433722
108.9,-588.06,163.35,4.531402941
108.9,-588.06,163.35,4.934264002
108.9,-588.06,163.35,5.372941131
108.9,-588.06,163.35,5.85061853
108.9,-588.06,163.35,6.370763487
108.9,-588.06,163.35,6.937151552
108.9,-588.06,163.35,7.553893933
108.9,-588.06,163.35,8.225467343
108.9,-588.06,163.35,8.956746496
108.9,-588.06,163.35,9.753039487
108.9,-588.06,163.35,10.62012632
108.9,-588.06,163.35,11.56430088
108.9,-588.06,163.35,12.59241659
108.9,-588.06,163.35,13.71193616
108.9,-588.06,163.35,14.93098581
108.9,-588.06,163.35,16.25841418
108.9,-588.06,163.35,17.70385659
108.9,-588.06,163.35,19.277805
108.9,-588.06,163.35,20.99168414
108.9,-588.06,163.35,22.85793445
108.9,-588.06,163.35,24.89010238
108.9,-588.06,163.35,27.10293872
108.9,-588.06,163.35,29.51250564
108.9,-588.06,163.35,32.13629335
108.9,-588.06,163.35,34.99334699
108.9,-588.06,163.35,38.10440489
108.9,-588.06,163.35,41.49204911
108.9,-588.06,163.35,45.18086937
108.9,-588.06,163.35,49.19764149
108.9,-588.06,163.35,53.57152179
108.9,-588.06,163.35,58.33425872
108.9,-588.06,163.35,63.52042329
108.9,-588.06,163.35,69.16766003
108.9,-588.06,163.35,75.31696021
108.9,-588.06,163.35,82.01295943
108.9,-588.06,163.35,89.30426155
108.9,-588.06,163.35,97.24379155
108.9,-588.06,163.35,105.8891797
108.9,-588.06,163.35,115.3031797
108.9,-588.06,163.35,125.5541245
108.9,-588.06,163.35,136.716422
108.9,-588.06,163.35,148.8710954
108.9,-588.06,163.35,162.1063712
108.9,-588.06,163.35,176.5183194
108.9,-588.06,163.35,192.2115514
108.9,-588.06,163.35,209.2999787
108.9,-588.06,163.35,227.9076401
108.9,-588.06,163.35,248.169602
108.9,-588.06,163.35,270.2329388
108.9,-588.06,163.35,294.2578004
108.9,-588.06,163.35,320.4185748
108.9,-588.06,163.35,348.9051536
108.9,-588.06,163.35,379.9243109
108.9,-588.06,163.35,413.7012036
108.9,-588.06,163.35,450.4810063
108.9,-588.06,163.35,490.5306904
108.9,-588.06,163.35,534.1409624
108.9,-588.06,163.35,581.6283737
108.9,-588.06,163.35,633.3376185
108.9,-588.06,163.35,689.6440359
108.9,-588.06,163.35,750.9563341
108.9,-588.06,163.35,817.7195572
108.9,-588.06,163.35,890.4183159
108.9,-588.06,163.35,969.5803045
108.9,-588.06,163.35,1055.780132
108.9,-588.06,163.35,1149.643492
108.9,-588.06,163.35,1251.851705
108.9,-588.06,163.35,1363.146664
108.9,-588.06,163.35,1484.33622
108.9,-588.06,163.35,1616.300045
108.9,-588.06,163.35,1759.996018
108.9,-588.06,163.35,1916.467176
108.9,-588.06,163.35,2086.849287
108.9,-588.06,163.35,2272.379095
108.9,-588.06,163.35,2474.403295
108.9,-588.06,163.35,2694.388309
108.9,-588.06,163.35,2933.930929
108.9,-588.06,163.35,3194.769911
108.9,-588.06,163.35,3478.798591
108.9,-588.06,163.35,3788.078634
108.9,-588.06,163.35,4124.854992
108.9,-588.06,163.35,4491.572205
108.9,-588.06,163.35,4890.892144
117.7,423.72,0.0,2.718281828
117.7,423.72,0.0,2.959948685
117.7,423.72,0.0,3.223100756
117.7,423.72,0.0,3.509648169
117.7,423.72,0.0,3.821670871
117.7,423.72,0.0,4.161433722
117.7,423.72,0.0,4.531402941
117.7,423.72,0.0,4.934264002
117.7,423.72,0.0,5.372941131
117.7,423.72,0.0,5.85061853
117.7,423.72,0.0,6.370763487
117.7,423.72,0.0,6.937151552
117.7,423.72,0.0,7.553893933
117.7,423.72,0.0,8.225467343
117.7,423.72,0.0,8.956746496
117.7,423.72,0.0,9.753039487
117.7,423.72,0.0,10.62012632
117.7,423.72,0.0,11.56430088
117.7,423.72,0.0,12.59241659
117.7,423.72,0.0,13.71193616
